id,time,username,post,label,skipstatus,player
719224628976230400,1461036496.134432,TarrenBurton,@SpursOfficial I'd say @ChrisEriksen8 he played fantastic and created some excellent chances #SpursMOTM,,,
719225132233945089,1461036496.133433,sln1701,@JanVertonghen welcome back. @ChrisEriksen8 @ericdier @Dele_Alli @ErikLamela @kylewalker2 ????????@AlderweireldTob @HKane ????booooom! Thank,,,
719225373733625858,1461036496.1324327,dwallm,@PaddyBriggs @ChrisEriksen8 great insight into what work goes into pattern of play in training. He could trust Rose to be there,,,
719226940431929344,1461036496.1284337,40b6b18e8343416,RT @spurs_family: A look at @ChrisEriksen8's first-half stats and the action areas... #COYS https://t.co/1QuCgcDu1e by @spursofficial,,,
719228796084297728,1461036496.1254196,melstarsg,Going to tweet this because it isn't said enough and maybe not fully appreciated: @ChrisEriksen8 is world class. Born to play for Spurs.,,,
719231938754686976,1461036496.1234136,pgriff1978,@SpursOfficial absolutely made up fantastic performance @ErikLamela @ChrisEriksen8 @ericdier @Dele_Alli @HKane @AlderweireldTob,,,
719231972489457664,1461036496.1214106,DannyT78,"@melstarsg @ChrisEriksen8 spot on mate, strangely underrated. Makes the team tick.",,,
719234032249282561,1461036496.1194086,Vardsthfc,@ChrisEriksen8 was sensational today!,,,
719234755108192257,1461036496.1184072,mjfran666,@ChrisEriksen8 fantastic game mate Well done,,,
719235763234324480,1461036496.1154182,Sammoore82,@HKane Well played Harry! Great ball out to @ChrisEriksen8 for @Dele_Alli goal #COYS,,,
719236291817312256,1461036496.1144052,melstarsg,"RT @DannyT78: @melstarsg @ChrisEriksen8 spot on mate, strangely underrated. Makes the team tick.",,,
719239067397988352,1461036496.1083975,Fabian_THFC,@ChrisEriksen8 is an unbelievable player #class #magician,,,
719239580684324869,1461036496.1063929,JoBoronte,Not forgetting @HKane @Dele_Alli @ChrisEriksen8 @ericdier @ErikLamela @H_Lloris Rose &amp; Son @kylewalker2 you're all amazing #COYS,,,
719243721770987520,1461037339.5290115,FussballThinkin,From 18 has been a constant goal scorer. @RomeluLukaku9 https://t.co/r5UBIED5g9,,,
719243803018817539,1461036496.1053908,Kevbark3r,@JanVertonghen @mousadembele @ericdier @kylewalker2 @ChrisEriksen8 @ErikLamela @HKane @AlderweireldTob @Dele_Alli proud of you boys today ??,,,
719245057048649728,1461036496.1044047,BenHotspur,"@ChrisEriksen8 u were unreal today, everything u did had quality &amp; u put in a shift",,,
719246224222732288,1461036496.1033974,anitamc24,@ChrisEriksen8 what an amazing game and great guy!! #COYS #THFC https://t.co/WQVakuFeVB,,,
719246983647666176,1461029785.7328055,kamikaya4,RT @GhilasOfficiel: Il est bon de vous voir couronné Premier League la ligue la plus forte dans le monde. J'espère voir ce beau moment mon…,,,
719247159825145856,1461029785.7318046,arbi13116524,@Mahrez22 https://t.co/VvbXoaXTce,,,
719248540023799808,1461029785.7308035,sara_Benzema1,RT @TSAlgerie: SPORT | Le #Barca prêt à mettre 45 millions d’euros sur @Mahrez22 &gt;&gt; https://t.co/wSxOjAUN5h @TSAlgerie https://t.co/9t,,,
719248843171348481,1461036496.1003866,TnNazir,@HKane @AlderweireldTob @ericdier @ErikLamela @mousadembele @ChrisEriksen8 @DannyRose03 take a bow gents simply brilliant 5 cup finals left,,,
719249006992441344,1461036496.099382,TnNazir,@HKane @AlderweireldTob @ericdier @ErikLamela @mousadembele @ChrisEriksen8 @DannyRose03 keep going leic WILL drop points ...COYS !,,,
719249635798355968,1461036496.0989082,Richietheyid,RT @Kevbark3r: @JanVertonghen @mousadembele @ericdier @kylewalker2 @ChrisEriksen8 @ErikLamela @HKane @AlderweireldTob @Dele_Alli proud of y…,,,
719251370356973570,1461029785.728796,FurkanBayndr15,RT @Mahrez22: Another great win ! https://t.co/uZbovBVJqt,,,
719252204536901636,1461037339.5280097,MichaelGrundy,RT @cb_bsfc: Oh my word. What a picture! @RomeluLukaku9 ???? https://t.co/RJyrGiqpOT,,,
719254998304104448,1461036496.0977044,herbsy77,RT @melstarsg: Going to tweet this because it isn't said enough and maybe not fully appreciated: @ChrisEriksen8 is world class. Born to pla…,,,
719257305146007552,1461036496.093417,sourjya_spurs14,"RT @Spurs_India: .@HKane ka @ChrisEriksen8 ko pass jinhone @Dele_Alli ko behtareen cross diya aur goal.
#COYS #TOTMUN https://t.co/rYmFx4d0…",,,
719259791412097024,1461036496.0913794,ridoskovi,@ChrisEriksen8  good night,,,
719259976951296001,1461036496.0893764,PaxtonNorth,"RT @SophieThfc10: My New Drawing of which includes Hugo Lloris, @ericdier @HKane @ChrisEriksen8 @HeungMinSon ?? What do you think? ???? http",,,
719260047533088768,1461036496.0883749,dylangriff8,Thank you @Dele_Alli @ChrisEriksen8 ??????????????????,,,
719260628158967808,1461036496.087377,gbspur72,@SophieThfc10  @ChrisEriksen8 @HeungMinSon @HKane @ericdier   @SpursOfficial Great stuff @SophieThfc10,,,
719260851434295297,1461036496.086376,SophieThfc10,@gbspur72 @ChrisEriksen8 @HeungMinSon @HKane @ericdier @SpursOfficial Aw thanks mate,,,
719261142116405249,1461036496.083369,tombennett1982,??@SpursOfficial  #COYS @mousadembele @AlderweireldTob @ErikLamela @ChrisEriksen8 @HKane @DannyRose03 @kylewalker2 @Dele_Alli @ericdier,,,
719262243947474944,1461036496.0823722,SusieSpur,Thought our team was immense today. @ChrisEriksen8 was amazing. It was great to have @JanVertonghen back so seamlessly.,,,
719263498824466433,1461029785.7257926,SamiStayfi,@Mahrez22 oh la famille ya pas moyen t'envoie ton maillot il est en rupture de stock à Marseille mdr,,,
719263520232181760,1461029785.7247913,HoussamSalem5,RT @beINSPORTS_MENA: ???? ???? @Mahrez22 ?? ???? ?????? ????? ?? ????? ???? @LCFC. ?? ?? ???? ???? ??? ??????? #BPL https://t.co/L2cC0um9Vi,,,
719264665780559872,1461029785.7237878,JuventusLazhar,"@Mahrez22 essalam alaycom
the tittle is very near four you",,,
719264679873351680,1461029785.722593,stentsmoking,@DonRanieri @vardy7 @Mahrez22 @robert_huth @Ngolokantefacts @kschmeichel1  https://t.co/MOiBWwVrfn,,,
719265069545205760,1461036496.0813696,Dan_H4rringt0n,@SpursOfficial @HKane @ErikLamela @ChrisEriksen8 @kylewalker2 #Coys #WeStillBelieve,,,
719267171487125504,1461029785.716855,migmassi,"¡Se Vale Soñar! @LCFC @vardy7 @Mahrez22 Todo un Planeta Está con Ustedes #GoFoxes
https://t.co/XiJX8CrWyR",,,
719267983642730497,1461029785.715837,ugurtuna_10,@Ngolokantefacts @josh_drinkwater @vardy7 @Mahrez22  @LCFC,,,
719268598708117506,1461036496.0803654,rob_deadman,RT @Dan_H4rringt0n: @SpursOfficial @HKane @ErikLamela @ChrisEriksen8 @kylewalker2 #Coys #WeStillBelieve,,,
719269294849318913,1461029785.714836,Melka931,RT @Mentxlist: Mahrez ???? @Mahrez22 https://t.co/jWaDu0nkXJ,,,
719270008090660865,1461029785.713835,Alikhissilus2,@Mahrez22 ressaisi-toi mon frère c'est maintenant ou jamais y a pas de passes y a des buts si tu vois ce que je veux ...dire la rage quoi !!,,,
719270085932789760,1461037339.5270095,tomglastonbury,"@RomeluLukaku9 @Everton Shame you didn't have you didn't score, I would have been £2k up off of a fiver! 474/1. https://t.co/VjZhaNb8TQ",,,
719271343649386496,1461029785.7128336,iness_fashion,"Vous êtes merveilleux
Comme d'habitude
@slimaniislam
@Hillal_Soudani
@Mahrez22
@BrahimiOfficial
#Feghouli
#Mahrez https://t.co/h949URbAZd",,,
719272698694799360,1461029785.7118428,79325dac733c4cd,@Mahrez22 https://t.co/Ii08GGupJC,,,
719272704747126788,1461029785.7108312,lauranrichwells,@Mahrez22 could we get this signed at the training ground tmrw?....would make his day...thanks #LCFC https://t.co/WHEFWgIAqA,,,
719274033024524289,1461036496.0783582,andycassie,A great win today. Keep believing boys. @HKane @ErikLamela @ChrisEriksen8 @Dele_Alli @AlderweireldTob @kylewalker2 @JanVertonghen @ericdier,,,
719274676904701958,1461036496.0773568,craigyrogers,@ChrisEriksen8 i ?? u x,,,
719275362669211648,1461029785.7098296,iness_fashion,"No player completed more take-ons in the Premier League this weekend than Riyad Mahrez (6)
@Mahrez22
#TeamDZ
#Mahrez https://t.co/iFEqiYVULq",,,
719276221612367874,1461029785.7088287,jomiperdo,Todo el planeta fútbol ?????????? @CasillasWorld @2010MisterChip @LCFC @vardy7 @Mahrez22 https://t.co/QOS6FT4Zga,,,
719276475220955136,1461029785.7078257,verscorp,Ça résume bien la saison de @LCFC. @Mahrez22 https://t.co/M4tYc3tAxM,,,
719279210410414080,1461029448.7652607,Kun_AnthoLopes,"130 buts en 200 matchs pour @aguerosergiokun avec City, c'est juste énorme comme stat????????????
Mais tellement sous-côté???? https://t.co/",,,
719279583913209860,1461029448.764259,_Scampia,"RT @Kun_AnthoLopes: 130 buts en 200 matchs pour @aguerosergiokun avec City, c'est juste énorme comme stat????????????
Mais tellement sous-cô",,,
719279912360796160,1461036496.0733519,R_Robinson0607,A year ago today I met @HKane @ChrisEriksen8 @ericdier @Vorm_Official @yedlinny and Brad friedel outside Tottenham training ground ?????????,,,
719280362799685632,1461029785.7068982,degilbert_luke,well done on your acheivement lads @vardy7 @Jeffrey_Schlupp @Mahrez22 @Demarai7 @okazakiofficial @FuchsOfficial @dannysimpson,,,
719283565750579200,1461036496.0723507,ANDREW0675,What a reverse pass from @ChrisEriksen8 ????????????????????????,,,
719283569965854723,1461037339.5260096,Ackergbogzie,"I doff my hat for @RomeluLukaku9, a great striker and I hope he wins something with the toffees if at all he won't be there next season",,,
719283830893502465,1461037339.5250213,Blessing_32,Scored three bangers at the park and this man started calling me  LUKAKU ???????? @RomeluLukaku9,,,
719284005959503876,1461029448.760686,RooLator,RT @SarmientoGamboa: #Teamwork #CMONCITY #cityvwba @aguerosergiokun #FabianDelph @MCFC @premierleague https://t.co/hdQhpSG27W,,,
719284356003532800,1461029448.7596846,RooLator,"@aguerosergiokun @MCFC @premierleague que boton de mierda no?? ???? jajajajajajajajajajajaja ????????
Te banco taaanto ????????",,,
719284431605862400,1461036496.0703475,LondonTom86,"That third goal. The cross field ball, the nod on by @ChrisEriksen8, the ball in by Rose and the finish by @ErikLamela. Goosebumps. @BBCMOTD",,,
719284997383983104,1461037339.5240164,SolaDaniel_,@RomeluLukaku9 score on Wednesday I beg you. even an assist would do pls just don't ghost,,,
719285483629584385,1461036496.069345,georges_00,Great win today lads! Thanks for such an entertaining game @SpursOfficial @HKane @Dele_Alli @ericdier @JanVertonghen @ChrisEriksen8,,,
719285488549502976,1461029785.703816,SansirR,@Bibicha50131336 @aissamandi23 @isco_alarcon @danieltosh @d11720346 @ArianaGrande @nytimes @AdleneGUEDIOURA @cauetofficiel @Mahrez22,,,
719285840086740994,1461036496.0673316,benfranksthfc,@ChrisEriksen8 plays buttery football ????????,,,
719286306581430272,1461029448.7586832,AniGonzalez_,RT @enriquesacco: #ManchesterCity | Hoy @aguerosergiokun llegó a 200 partidos en el club. ¿Cuántos goles? https://t.co/f8id0yAuJg,,,
719289412862013440,1461037339.5220056,athleets_bpl,https://t.co/7bdjj0POeE updates @RomeluLukaku9 https://t.co/WZd8wIcKfu for #Everton appearances 97 to 98,,,
719289922541199360,1461029785.7028148,alejandro72013,https://t.co/KsaxR99T8f @YayaToure @MCFC @Arsenal @vardy7 @Mahrez22 @Alexis_Sanchez,,,
719290549589643264,1461029448.757679,athleets_bpl,https://t.co/7bdjj0POeE updates @aguerosergiokun https://t.co/7IjLtLEGpY for #MCFC appearances 144 to 145 goals 95 to 96,,,
719292183128444928,1461029448.7566645,MalekTsaalbi,@aguerosergiokun i Love You You Are My Best Player But I Wish You Are A Moslum,,,
719293423572881409,1461029785.6998146,Back2GolStriker,@UtterlyTC @Mahrez22 @Phil_Coutinho a lot depends on the outcome this Thursday against @BVB #FPL,,,
719295417159131137,1461037339.517998,koshaughnessy99,@Blessing_32 @RomeluLukaku9 chat shit,,,
719296130433949697,1461029448.7531571,muflih_moh,"https://t.co/2c1o2uCu3a - Ambisi Singkirkan PSG, Man City Andalkan Aguero https://t.co/StMk2dZ8v9 #ComeOnCity @aguerosergiokun",,,
719299758632804353,1461036496.063321,FQD1911,"ROOOOOFLMAO

@ChrisEriksen8 that was awesome https://t.co/mcPXBWkbJn",,,
719300206995464192,1461029448.7491965,VickayySilvera,RT @CeciAlbiceleste: . @PolloVignolo @TirandoLujos #VamosArgentina ???????????? #Messi @Mascherano @aguerosergiokun @PochoLavezzi et al @Arg,,,
719300650467749888,1461036496.06232,athleets_bpl,https://t.co/7bdjj0POeE updates @ChrisEriksen8 https://t.co/5z4pe29gTp for #SpursOfficial appearances 92 to 93,,,
719302285411622913,1461029448.7453318,Aly10_mssikn,Sí supieras de verdad que tú eres mi eterno amor @agueroSergiokun #TeAmuuu,,,
719302505495162880,1461029785.6978085,Samybechiri,@midoahm in some weeks ! @Mahrez22  #Leicester #PremierLeague #Challenge https://t.co/hWPDb7oGXf,,,
719303142278610945,1461029448.7443295,Estebanrz6,"Y yo sigo esperando una respuesta de un ídolo mío. Es contigo, @aguerosergiokun.",,,
719304061246390272,1461029785.6968074,athleets_bpl,https://t.co/7bdjj0POeE updates @Mahrez22 https://t.co/PoAm8n8hDp for #LCFC appearances 61 to 62,,,
719306554667900928,1461029785.695806,Membri2310,@Mahrez22 Tiene que tener 5 estrellas de skills si o si en Fifa 17.,,,
719307851865448448,1461029785.6948054,SafireProxo,@midoahm @beINSPORTS_MENA ???? ??? ?????? ???? ???? ????  @Mahrez22,,,
719312633199992832,1461029448.7405467,gabstab,chiquito el afiche! @aguerosergiokun https://t.co/J6RSAhTjxU,,,
719313357568925696,1461029448.7393641,rsmv16,@aguerosergiokun coronó su partido 200 con el Manchester City colon un gol de penal vs el West… https://t.co/oROEwnBxpw,,,
719313418038177792,1461029448.7355022,messiftmxlxtx,RT @rsmv16: @aguerosergiokun coronó su partido 200 con el Manchester City colon un gol de penal vs el West… https://t.co/oROEwnBxpw,,,
719314105757147136,1461029448.7340002,KhaSupisa,"RT @MCFC: From @SamNasri19's return to @aguerosergiokun's 200...

#cityvwba Talking Points: https://t.co/euY0Qh11WQ #mcfc https://t.co/zMZL…",,,
719315405119098881,1461029785.6938035,samfrench666,RT @LCFC: PICTURED: @Mahrez22 looks to get his pass away ahead of the incoming Fabio Borini. #SunLei https://t.co/FP4yoMOUBy,,,
719318088236343296,1461029448.7315006,DUHACool,@aguerosergiokun ?????????I love you from the bottom of my heart?????????,,,
719322426316845057,1461037892.7545302,Gabucast,Dale vuelta a las botellas que estan alli ???????? https://t.co/mc37A0mmSy,,,
719322940102287360,1461029448.7295096,Briikarinera,Sos taaaan perfecto @aguerosergiokun ???????????????? te amo #Crack https://t.co/4E8ij61xAM,,,
719327734883680256,1461030337.3766212,GAdeportes,@LuisSuarez9 y @vardy7 nos dan la clave del éxito para ser un gran centro delantero. ???? la mano derecha... https://t.co/hNI3LgNo4z,,,
719328031391817728,1461030337.3685946,mattb73uk,RT @IanDavidsonStat: Scenes here @vardy7 @LCFC @JasonBourne1986 @StringerSport https://t.co/yN9nrnt9E3,,,
719328566450778112,1461030337.367593,norman742,@vardy7 congratulations vardy7 !!!! go for the premier league !! att a fan of Guatemala!!!!!!!!!!!!,,,
719329586979475456,1461030337.362587,willip22,What did i say all day @vardy7 will score said it all fucking day,,,
719329662657306624,1461030337.3615856,61149ee03fb8404,@vardy7  grande y jugador con todas las letras.,,,
719330161754259457,1461030337.3595831,Lautssss,Gracias por salvar mi fin de semana te amo @vardy7,,,
719331202377887744,1461030337.3515735,jluis_floresm,@vardy7 cracks,,,
719331223592505344,1461030337.3505723,Edwardpl,RT @premierleague: Two more for @vardy7 on Sunday. Will he catch @HKane...? https://t.co/yvAvgVHQg0,,,
719331514786275328,1461030337.3485699,tigerwithchild,"@Leicester_CityJ @DGSAcademy @Deacyliam @vardy7 ?????????????????????
?????????????????????????",,,
719332892178919424,1461030337.3355708,deanbirkett,The possibility of Leonardo DiCaprio playing @vardy7 in a rags to riches story appear to be shortening.,,,
719333130499395585,1461030337.332551,RohitV05,"RT @RobHarris: Good year for unexpected successes for sportsmen born in Sheffield in 1987:
@Danny_Willett &amp; @vardy7",,,
719333508687114240,1461030337.3315482,1fc_kaz,@Leicester_CityJ @DGSAcademy @Deacyliam @vardy7 ?????????????????,,,
719334080723165184,1461030337.3275454,itzjohny19,"@vardy7 How can i buy a Kit with your name&amp;number?
I live outside UK and i can't find it in Leicester City online shop",,,
719334262210748416,1461030337.3255405,GlobalMusicFM,"Inglaterra a sus pies, leer nota: 
https://t.co/UFPgbIGXDo

@LCFC @vardy7 https://t.co/ohvPbtQWgd",,,
719335528303366144,1461030337.318533,alezurdo07,"RT @LCFC: LISTEN: @vardy7 adds another 2, #lcfc head 10 points clear. Here's how they sounded https://t.co/faLFN1C3Hd #SunLei https://t.co/…",,,
719336360398565377,1461030337.312525,RAuTeSHcricket,RT @LCFC: PICTURED: @vardy7 celebrates his 20th goal of the season as he puts #lcfc 1-0 up at the Stadium of Light. #SunLei https://t.co/Cn…,,,
719337057487876096,1461030337.3025115,NeilMonaghan619,@br_uk @vardy7 against that defence please,,,
719337229307539456,1461030337.2975073,oswalth_lopez_7,"@vardy7 que gran jugador eres. Espero, como la mayoria del mundo, que ganen la premier... Saludos desde Colombia.",,,
719337924148477955,1461037339.5170116,Qassimodo,"abeg @RomeluLukaku9 make us proud on Wednesday , a hattrick will be just fine...",,,
719338078863634432,1461030337.2935169,markirrin,"Cuando sea más viejo, le contaré a alguien que vi a los @warriors de @StephenCurry30 y que vi campeón al @LCFC de @vardy7 ????????????",,,
719338112170766336,1461030337.2925155,KianMajor,"RT @ScottGShore: He only needs one chance

Go on my son @vardy7 

#VardyPardy",,,
719338340609343488,1461030337.2884948,yogs75,@vardy7 Thanks boys this is a dream come true. Let's focus on sunday now and get them 3 points.,,,
719340272128299008,1461030337.2804961,davdavjavin,@vardy7 i support lfc and lcfc and by the way lcfc will surely win the title,,,
719340664232644608,1461030337.2784984,Ivn_lpz,Congrats @LCFC @vardy7 #championsleague https://t.co/DtKpEHhOPY,,,
719342698273103872,1461030334.6211662,Juaniac99,@iFutbola @vardy7 @Tomy10Herrera EL,,,
719343089370800128,1461030334.619164,AlejaandroRmz,Lo más bonito del mes ha sido ver jugar a @vardy7 ????,,,
719343301284012033,1461030334.6181624,Tomy10Herrera,RT @Juaniac99: @iFutbola @vardy7 @Tomy10Herrera EL,,,
719343341838680064,1461030334.6171634,Tomy10Herrera,@Juaniac99 @iFutbola @vardy7 haciendo historia,,,
719344777469259776,1461037339.5149975,leightonbaines8,@RomeluLukaku9 I captained you in #fpl this week so make us proud at get the hat trick you deserve on Wednesday,,,
719345598911143936,1461037892.7535286,lxxfxr,"@Killsillusion Dale si va cuando quieres, pero pendiente por alli.",,,
719345619618258944,1461037892.7525287,Febomorningstar,"Cómo ligar a la jaina de tu sueños, con el Febo:

1 Busca a la chica q te guste
2 Dale un batazo en la cabeza
3 Disfrute allí o en su sótano",,,
719345781849739264,1461030334.6031435,DIEGORONALDOSB,@vardy7 Saludos desde México ???????? éxito para que logres el campeonato.,,,
719346294800695296,1461030334.6001403,Juaniac99,RT @Tomy10Herrera: @Juaniac99 @iFutbola @vardy7 haciendo historia,,,
719346463285882880,1461035983.2628405,gavbroom,@HKane always great to see you grace the lane bro! When you become an nfl kicker please come to the jets x,,,
719347539439394817,1461030334.5931315,felipecw07,@vardy7 golaçoo é @LCFC?? https://t.co/WTqcUwa6h5,,,
719347568174632961,1461030334.5921302,bayernluis,@vardy7 I am leicester,,,
719348075341303808,1461030334.587124,EurosportAUS,One man will be explaining why he disrupted a christening to celebrate @vardy7 scoring: https://t.co/ro5LYvgMHq https://t.co/pCbh6kDsXf,,,
719348515550400512,1461030334.58412,marca,"#LoMásViral La #Premier, a los pies de @vardy7 https://t.co/4cEoiA4WRu https://t.co/5QYRa9GbLi",,,
719348575621107712,1461030334.5821176,ijeicomartinez,"RT @marca: #LoMásViral La #Premier, a los pies de @vardy7 https://t.co/4cEoiA4WRu https://t.co/5QYRa9GbLi",,,
719348848985051141,1461030334.5761106,SabianMcleod,@vardy7 https://t.co/9x8nbrRDck,,,
719348963820879873,1461030334.5701025,SabianMcleod,@premierleague @vardy7 @HKane https://t.co/GUfs4HedI4,,,
719349027171655681,1461030334.567099,RonaldVazquez12,@vardy7 desde Venezuela deseando que ganen La Premier.,,,
719349479330160641,1461030334.5620925,mackgray4,"@vardy7 Great day for sheffield sportsmen,you bagging a brace and Danny willett winning the Masters",,,
719349989818773504,1461030334.555084,Gabomatz10,AMAZING @vardy7 !! ?????,,,
719350260733243397,1461030334.5520804,pipe_Dtt,lo de @vardy7 es una cosa de locos,,,
719350969457385472,1461035983.2498071,johndwz,RT @elPatron_Sergio: @HKane @ErikLamela  https://t.co/dcMh5a3kqX,,,
719351852152799232,1461029785.6918044,ammore8,@beINSPORTS_MENA @Mahrez22 @LCFC ?? ???? ???? ? ??? ??????? ????????? ????? ?????? ??????? ?????? ?????????????,,,
719352329426837504,1461037892.7515273,Krikri31,"@JOSEVICENTEHARO @hramosallup 
ALLÍ ESTÁ ALMAGRO,ESPERANDO PETICIÓN DE ACTIVAR CARTA DEMOCRÁTICA EN VENEZUELA.
    Dale no esperes más",,,
719352807485272068,1461037892.7505255,Dios_Federacion,"RT @Krikri31: @JOSEVICENTEHARO @hramosallup 
ALLÍ ESTÁ ALMAGRO,ESPERANDO PETICIÓN DE ACTIVAR CARTA DEMOCRÁTICA EN VENEZUELA.
    Dale no es…",,,
719353202718679040,1461030334.5310538,NeilBenson,Quiz time: What's the world's premier sporting city? @Danny_Willett @vardy7 @root66 #sheffieldsteel #Masters2016,,,
719353572282998784,1461029448.7190592,JuanVolta01,RT @ESPNDatos: .@aguerosergiokun llega a 130 goles con @MCFCEspanol y empata a Frank Roberts en 10mo lugar histórico del club. https://t.co…,,,
719356771593240577,1461035983.2317748,shazzerj,@HKane so good to c Spurs in the position they r in haven't been this high in decades well done to each &amp; everyone of u awesome squad,,,
719358202588962816,1461035983.2297757,DezyraeL,@HKane well done!,,,
719359015680151552,1461030331.9418235,Y_AGUILAR18,RT @mundodeportivo: Doblete de @vardy7 que deja al Leicester aún más cerca del título https://t.co/sSDLkPPvRm #PremierLeague https://t.co/o…,,,
719360431119319040,1461029448.7070608,SeijoCristian,@aguerosergiokun.  Idolo total,,,
719360702893260800,1461030331.9358158,DavidDcam,@vardy7 finish the job off mate! Incredible!!,,,
719361077935546368,1461030331.934815,WordpressOlly,@TSBible @vardy7 even at 69 OVR ???????? https://t.co/yVgfH3gkLd,,,
719362658068217856,1461030331.9308095,KIKITkiran,Premiership Party at @TheAsianAwards with Jamie Vardy &amp; Manish Bhasin @vardy7 @_manishbhasin @LCFC @BBCSport https://t.co/SeLRuIonuR,,,
719367642121924608,1461030331.9087818,TheAsianAwards,RT @KIKITkiran: Premiership Party at @TheAsianAwards with Jamie Vardy &amp; Manish Bhasin @vardy7 @_manishbhasin @LCFC @BBCSport https://t.c,,,
719368243274616833,1461030331.9057784,AAziz_11,@vardy7 so you need to practice your rabona too. ????????????,,,
